url,job_id,title,location,reg_temp,dept,start_dt,end_dt,salary_low,salary_high,career_interest
https://careers.umich.edu/job_detail/229396/,229396,Data Security Analyst,Ann Arbor Campus,Regular,Biostatistics Department,1/20/23,5/31/23,"$89,599.00 ","$110,681.00 ",Information Technology
https://careers.umich.edu/job_detail/234700/,234700,Cloud Collaboration Platforms Supervisor,Ann Arbor Campus,Regular,ITS SS Support Services,5/18/23,6/8/23,"$99,282.00 ","$110,313.00 ",Information Technology
https://careers.umich.edu/job_detail/231143/,231143,Research App Programmer/Analyst,Ann Arbor Campus,Regular,Biostatistics Department,2/27/23,5/31/23,"$87,324.00 ","$107,871.00 ",Information Technology
https://careers.umich.edu/job_detail/234432/,234432,BIM Database Administrator,Ann Arbor Campus,Regular,Facilities & Operations - IS,5/12/23,5/26/23,"$90,000.00 ","$105,000.00 ",Information Technology
https://careers.umich.edu/job_detail/232973/,232973,Applications Programmer/Analyst Senior (Hybrid),Flint Campus,Regular,Flint Vice Provost for Enrollm,5/8/23,6/7/23,"$73,600.00 ","$92,000.00 ",Information Technology
https://careers.umich.edu/job_detail/234338/,234338,Technical Writer - Cyber Security,Ann Arbor Campus,Regular,ITS IA Info Assurance Security,5/10/23,6/9/23,"$71,000.00 ","$82,000.00 ",Human Resources;Information Technology
https://careers.umich.edu/job_detail/234172/,234172,Business Systems Analyst Senior/Intermediate,Ann Arbor Campus,Regular,OFA Office of Financial Aid,5/5/23,5/26/23,"$55,000.00 ","$80,000.00 ",Information Technology
https://careers.umich.edu/job_detail/234037/,234037,App Programmer/Analyst Inter,Ann Arbor Campus,Regular,"LSA Dean: TS Res,Comp&InfrSvcs",5/2/23,5/23/23,"$70,000.00 ","$77,000.00 ",Information Technology
https://careers.umich.edu/job_detail/234525/,234525,Transfer Application Supervisor,Ann Arbor Campus,Regular,OUA Processing,5/15/23,5/28/23,"$55,000.00 ","$55,000.00 ",Academic & Student Services;Information Technology
https://careers.umich.edu/job_detail/234677/,234677,Technology Experience Specialist Associate,Ann Arbor Campus,Regular,LSA Dean: TS Support Services,5/18/23,6/1/23,"$37,000.00 ","$43,000.00 ",Information Technology
https://careers.umich.edu/job_detail/234524/,234524,Senior Records and Data Control Specialist,Ann Arbor Campus,Regular,OUA Processing,5/15/23,5/28/23,"$41,000.00 ","$41,000.00 ",Academic & Student Services;Information Technology
https://careers.umich.edu/job_detail/233690/,233690,MLabs Connectivity Team Business Systems Support,Michigan Medicine - Ann Arbor,Regular,MM Path MLabs Division,4/25/23,5/25/23,,,Information Technology;Pathology/Laboratory Services
https://careers.umich.edu/job_detail/233693/,233693,MLabs Connectivity Team Business Systems Analyst,Michigan Medicine - Ann Arbor,Regular,MM Path MLabs Division,4/25/23,5/25/23,,,Information Technology;Pathology/Laboratory Services
https://careers.umich.edu/job_detail/233695/,233695,MLabs Business Systems Analyst/Connectivity Team Lead,Michigan Medicine - Ann Arbor,Regular,MM Path MLabs Division,4/25/23,5/25/23,,,Information Technology;Pathology/Laboratory Services
https://careers.umich.edu/job_detail/233633/,233633,Database Administrator Inter,Ann Arbor Campus,Regular,MM Neurology Department,4/24/23,5/31/23,,,Information Technology
https://careers.umich.edu/job_detail/234733/,234733,Clin Bus Analyst Senior,Michigan Medicine - Ann Arbor,Regular,MM OR Admin,5/19/23,6/2/23,,,Information Technology
https://careers.umich.edu/job_detail/225665/,225665,App Programmer/Analyst Inter,Michigan Medicine - Ann Arbor,Regular,MM Pathology Informatics,4/24/23,6/23/23,,,Information Technology;Pathology/Laboratory Services
